Nr. factura,Data factura,Baza impozitare,Valoare TVA,An factura,Predictie,Diferenta
43892,2020-09-29,75.64,14.37,2020,90.0162590220137,-0.006259022013693993
43895,2020-09-29,445.89,84.72,2020,530.6153977857638,-0.005397785763761931
43906,2020-09-29,9.9,1.88,2020,11.786411896023406,-0.006411896023406527
43954,2020-09-30,129.33,24.57,2020,153.90613419484004,-0.00613419484002975
43981,2020-10-01,110.86,21.06,2020,131.92617718171144,-0.00617718171145043
43982,2020-10-01,282.84,53.74,2020,336.58577703038225,-0.005777030382262183
44084,2020-10-01,93.12,17.69,2020,110.81621841669099,-0.006218416690984441
44221,2020-10-01,45.96,8.73,2020,54.69632808540786,-0.006328085407865558
44237,2020-10-01,52.72,10.02,2020,62.746312130087624,-0.006312130087621881
44238,2020-10-01,42.79,8.13,2020,50.92633536261155,-0.006335362611551432
44599,2020-10-01,67.23,12.77,2020,80.00627866941093,-0.006278669410932025
44600,2020-10-01,226.18,42.97,2020,269.15590900220195,-0.005909002201974545
44809,2020-10-01,264.54,50.26,2020,314.8058197174894,-0.005819717489373488
44837,2020-10-01,702.7,133.51,2020,836.2148006558393,-0.004800655839289902
44847,2020-10-01,258.49,49.11,2020,307.6058338094466,-0.005833809446585292
44852,2020-10-01,319.06,60.62,2020,379.68569286426685,-0.005692864266848119
44024,2020-10-02,92.38,17.55,2020,109.93622011284731,-0.006220112847302062
44085,2020-10-05,146.05,27.75,2020,173.80609517420254,-0.006095174202528142
44087,2020-10-05,5.38,1.02,2020,6.406422458589492,-0.00642245858949142
44122,2020-10-06,59.51,11.31,2020,70.82629634197404,-0.006296341974049824
44140,2020-10-07,685.74,130.29,2020,816.0348400018485,-0.004840001848492648
44141,2020-10-07,27.73,5.27,2020,33.00637033115139,-0.0063703311513876315
44174,2020-10-08,75.64,14.37,2020,90.0162590220137,-0.006259022013693993
44201,2020-10-09,1209.1,229.73,2020,1438.833622697768,-0.0036226977681508288
44205,2020-10-09,279.57,53.12,2020,332.6957845817428,-0.005784581742830142
44247,2020-10-12,127.16,24.16,2020,151.3261391462306,-0.006139146230594861
44249,2020-10-12,1327.16,252.16,2020,1579.3233481704765,-0.0033481704765563336
44279,2020-10-12,12.15,2.31,2020,14.466406559004811,-0.006406559004810575
44280,2020-10-13,38.57,7.33,2020,45.90634510270683,-0.006345102706831085
44338,2020-10-13,3437.31,653.09,2020,4090.39844029354,0.0015597064602843602
44305,2020-10-14,846.87,160.91,2020,1007.7844650232281,-0.004465023228135578
44335,2020-10-15,23.78,4.52,2020,28.30637949732544,-0.006379497325440298
44337,2020-10-15,9.75,1.85,2020,11.606412307258807,-0.0064123072588078145
44341,2020-10-15,846.89,160.91,2020,1007.8044651346992,-0.004465134699216833
44348,2020-10-15,91.2,17.33,2020,108.53622268268919,-0.006222682689184467
44357,2020-10-15,31.09,5.91,2020,37.00636244989828,-0.006362449898283273
44366,2020-10-16,980.51,186.3,2020,1166.8141542680828,-0.0041542680828570155
44420,2020-10-19,170.92,32.48,2020,203.40603713582456,-0.006037135824556117
44428,2020-10-19,41.77,7.94,2020,49.71633757695358,-0.006337576953576729
